| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 研发工程师（java） 正编银行，福利待遇好 | 长沙 | 17-28K·16薪 | 5-10年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/004ab2b4e0644f0c1HJy3dy4GVtY.html |
| 高级java工程师 | 长沙·岳麓区·麓山路 | 15-30K | 5-10年本科 | 湖南紫先 | 互联网天使轮0-20人 | https://www.zhipin.com/job_detail/8aa1e7e2ccc9696a1HZ42968EFZX.html |
| java 工程师 | 长沙·开福区·湘江中路 | 18-30K·13薪 | 5-10年本科 | 双宁网络 | 互联网未融资0-20人 | https://www.zhipin.com/job_detail/115b15dc1f17ffbc33V529m_E1A~.html |
| java开发 | 长沙·岳麓区·望城坡 | 11-22K | 3-5年大专 | 梦饷科技 | 互联网C轮500-999人 | https://www.zhipin.com/job_detail/aaae6418ae7349061Hx42Nm5E1FQ.html |
| Java | 长沙·天心区·暮云镇 | 15-25K·13薪 | 3-5年本科 | 同飞电力 | 计算机服务不需要融资100-499人 | https://www.zhipin.com/job_detail/0a19a7d5765dfe0d1HJ62d6-EVBT.html |
| java开发经理（双休五险一金） | 长沙·天心区·黄土岭 | 10-13K·13薪 | 5-10年本科 | 弘智软件 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/25ecfc3164f51abe1HV43ty1GFRY.html |
| Java工程师（base宁波） | 长沙·雨花区·武广新城 | 15-20K | 5-10年本科 | 领雁科技 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/46a5fd68001e3f961HZ_2dS_GFdU.html |
| java高级研发工程师 | 长沙·长沙县·星城国际 | 15-30K·16薪 | 5-10年本科 | 三一重工 | 企业服务已上市10000人以上 | https://www.zhipin.com/job_detail/22155313e8dbae5e1HR92di_ElBT.html |
| java工程师 | 长沙·岳麓区·麓谷 | 8-10K | 5-10年大专 | 五号智能科技有限公司 | 新能源未融资20-99人 | https://www.zhipin.com/job_detail/8a32258d22c88cb71HNy0tm4EFFY.html |
| 高级java工程师 | 长沙·岳麓区·麓谷 | 15-25K·14薪 | 5-10年本科 | 奥特美克 | 计算机软件已上市500-999人 | https://www.zhipin.com/job_detail/8be8a4cfc853e2351X142N6-GFZS.html |
| 资深java开发工程师 | 长沙·岳麓区·麓谷 | 15-20K | 5-10年本科 | 维益智信 | 计算机软件A轮20-99人 | https://www.zhipin.com/job_detail/3ceae2bdde81560e1Hx62ti0EVJZ.html |
| 高级java开发 | 长沙·天心区·暮云镇 | 11-22K | 5-10年本科 | 太极联睿 | 计算机软件A轮20-99人 | https://www.zhipin.com/job_detail/d9f2d38b026f1b111HB53tS7E1tT.html |
